CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130205007M;MAGLUMI IGF-1;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;270.75;REACTIVO
130205008M;MAGLUMI Anti-IA2;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130211001M;MAGLUMI Intact PTH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130211002M;MAGLUMI Calcitonin (CT);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130211003M;MAGLUMI Osteocalcin (BGP);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;RUO
130211004M;MAGLUMI 25 OH-Vitamin D;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;297.35;REACTIVO
130213001M;MAGLUMI FA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130213002M;MAGLUMI VB12;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;207.10;REACTIVO
130216001M;MAGLUMI Procalcitonin (PCT);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;365.75;REACTIVO
130216002M;MAGLUMI CRP;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;149.15;REACTIVO
130216004M;MAGLUMI IL-6 (CLIA);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;285.00;REACTIVO
130298001M;MAGLUMI GH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;104.50;REACTIVO
130298002M;MAGLUMI Cortisol;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;71.25;REACTIVO
130298003M;MAGLUMI ACTH;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;169.10;REACTIVO
130298004M;MAGLUMI 17-OH-PROGESTERONE;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;152.00;REACTIVO
130206001M;MAGLUMI CK-MB;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;223.25;REACTIVO
130206002M;MAGLUMI Troponin I;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;223.25;REACTIVO
130206003M;MAGLUMI Myoglobin (MB);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;166.25;REACTIVO
130206004M;MAGLUMI NT-proBNP;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;267.90;REACTIVO
130206005M;MAGLUMI Angiotensin I (A I);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;193.80;REACTIVO
130206006M;MAGLUMI Angiotensin II (A II);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;193.80;REACTIVO
130206007M;MAGLUMI Aldosterone (ALD);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;163.40;REACTIVO
130206008M;MAGLUMI D-Dimer;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;223.25;REACTIVO
130206015M;MAGLUMI LP-PLA2;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;229.90;REACTIVO
130206014M;MAGLUMI hs-cTnl;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;252.70;REACTIVO
130206011M;MAGLUMI Direct Renin;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;193.80;RUO
130204001M;MAGLUMI β2-MG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;104.50;REACTIVO
130204002M;MAGLUMI H-ALB;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;104.50;REACTIVO
130209001M;MAGLUMI HA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130209002M;MAGLUMI PIIIP N-P;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130209003M;MAGLUMI Collagen IV (C IV);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130209004M;MAGLUMI Laminin (LN);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130209005M;MAGLUMI Cholylglycine (CG);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;118.75;REACTIVO
130208001M;MAGLUMI hIgE;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130208002M;MAGLUMI hIgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130208003M;MAGLUMI hIgA;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130208004M;MAGLUMI IgA (urine analysis);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130208005M;MAGLUMI hIgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130208006M;MAGLUMI IgG (urine analysis);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;89.30;REACTIVO
130207001M;MAGLUMI Cyclosporin A;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;349.60;REACTIVO
130207002M;MAGLUMI Digoxin;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;131.10;REACTIVO
130207003M;MAGLUMI FK-506,Tacrolimus;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;349.60;REACTIVO
130210001M;MAGLUMI HBsAg - Hepatitis B;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130210002M;MAGLUMI anti-HBs;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130210003M;MAGLUMI HBeAg;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
130210004M;MAGLUMI anti-HBe;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;52.25;REACTIVO
