CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130606015M;MAGLUMI LP-PLA2;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;149.44;REACTIVO
130606014M;MAGLUMI hs-cTnl;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;164.26;RUO
130606011M;MAGLUMI Direct Renin;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;125.97;RUO
130604001M;MAGLUMI β2-MG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;67.93;REACTIVO
130604002M;MAGLUMI H-ALB;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;67.93;REACTIVO
130609001M;MAGLUMI HA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130609002M;MAGLUMI PIIIP N-P;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130609003M;MAGLUMI Collagen IV (C IV);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130609004M;MAGLUMI Laminin (LN);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130609005M;MAGLUMI Cholylglycine (CG);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130608001M;MAGLUMI hIgE;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130608002M;MAGLUMI hIgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130608003M;MAGLUMI hIgA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130608004M;MAGLUMI IgA (urine analysis);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130608005M;MAGLUMI hIgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130608006M;MAGLUMI IgG (urine analysis);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130607001M;MAGLUMI Cyclosporin A;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;227.24;REACTIVO
130607002M;MAGLUMI Digoxin;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;85.22;REACTIVO
130607003M;MAGLUMI FK-506,Tacrolimus;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;227.24;REACTIVO
130610001M;MAGLUMI HBsAg - Hepatitis B;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130610002M;MAGLUMI anti-HBs;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130610003M;MAGLUMI HBeAg;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130610004M;MAGLUMI anti-HBe;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130610005M;MAGLUMI anti-HBc;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130610007M;MAGLUMI anti-HAV;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;61.75;REACTIVO
130610008M;MAGLUMI HAV IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;74.10;REACTIVO
130612001M;MAGLUMI Toxo IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612002M;MAGLUMI Toxo IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612003M;MAGLUMI Rubella IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612004M;MAGLUMI Rubella IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612005M;MAGLUMI CMV IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612006M;MAGLUMI CMV IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612007M;MAGLUMI HSV-1/2 IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612008M;MAGLUMI HSV-2 IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130612009M;MAGLUMI HSV-1/2 IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130601027M;MAGLUMI H, pylori IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;74.10;REACTIVO
130601021M;MAGLUMI H, PYLORI IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;74.10;REACTIVO
130619003M;MAGLUMI SYPHILIS ;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;61.75;REACTIVO
130619001M;MAGLUMI CHAGAS;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;61.75;REACTIVO
130619004M;MAGLUMI HIV Ab-Ag Combi;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;92.63;REACTIVO
130615001M;MAGLUMI EBV EA IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;RUO
130615002M;MAGLUMI EBV EA IgA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;RUO
130615003M;MAGLUMI EB VCA IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130615004M;MAGLUMI EB VCA IgM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130615005M;MAGLUMI EB VCA IgA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130615006M;MAGLUMI EBV NA IgG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;RUO
130615006M;MAGLUMI EBV NA IgA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;RUO
130603009M;MAGLUMI TRAb;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130603008M;MAGLUMI TMA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130617001M;MAGLUMI Anti-CCP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;87.69;REACTIVO
130617002M;MAGLUMI Anti-dsDNA IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;REACTIVO
130617003M;MAGLUMI ANA Screen(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;105.91;REACTIVO
130617004M;MAGLUMI ENA Screen(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;105.91;REACTIVO
130617005M;MAGLUMI Anti-Scl-70 IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;REACTIVO
130617006M;MAGLUMI Anti-Centromeres IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;RUO
130617007M;MAGLUMI Anti-M2-3E IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;REACTIVO
130617008M;MAGLUMI Anti-Histones IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;96.64;RUO
130617010M;MAGLUMI Anti-Rib-P IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;REACTIVO
130617011M;MAGLUMI Anti-nRNP/Sm IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;87.69;REACTIVO
130617012M;MAGLUMI Anti-Sm IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;135.55;RUO
130617013M;MAGLUMI Anti-SS-A IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;RUO
130617014M;MAGLUMI Anti-SS-B IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;79.35;RUO
130617009M;MAGLUMI Anti-Jo-1 IgG(CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;118.87;REACTIVO
13061008M;MAGLUMI HAV IGM;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;74.10;REACTIVO
130616004M;MAGLUMI IL-6 (50det);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;185.25;REACTIVO
130601028M;MAGLUMI H, Pylori IgA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;74.10;REACTIVO
130619027M;MAGLUMI SARS COV-2 Neutralizing Antibody;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;74.10;REACTIVO
130619017M;MAGLUMI SARS COV-2-S-RBD IgG ;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;61.75;REACTIVO
130505001S;Glucose Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;2.36;REACTIVO
130503003S;Urea Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130503001S;Creatinine Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130503002S;Uric acid Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130501003S;Total Cholesterol Test Reagent kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130501001S;High Density Lipoprotein;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;19.04;REACTIVO
130501004S;Triglycerides Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130502003S;Aspartate aminotransferase Test;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130502002S;Alanine aminotransferase Test;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130502004S;Alkaline phosphatase Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130502008S;Total protein Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130502009S;Albumin Test Reagent Kit;KIT;a8997755-9a29-41ec-8138-f5f26bcb8156;;0.00;REACTIVO
130619002M;MAGLUMI HTLV I+ II (CLIA);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;61.75;REACTIVO
130606012M;MAGLUMI H-FABP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;89.54;RUO
130213003M;MAGLUMI EPO ;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;240.00;REACTIVO
130613003M;MAGLUMI EPO;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;0.00;REACTIVO
130214501M;MAGLUMI PAPP-A (PREACCU)* softw nuevo;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;0.00;RUO
130210015M;MAGLUMI Anti-HCV;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;101.90;REACTIVO
130265003M;MAGLUMI EB VCA IGG*;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;123.75;REACTIVO
130265004M;MAGLUMI EB VCA IGM*;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;123.75;REACTIVO
130269017M;MAGLUMI SARS-CoV-2 S-RBD IgG (CLIA) 2DA GENERACION;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;114.00;REACTIVO
130610015M;MAGLUMI ANTI- HCV*;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;66.24;REACTIVO
130665003M;MAGLUMI EBV VCA IgG de 50 Det,*;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;80.44;REACTIVO
130665004M;MAGLUMI EBV VCA IgM de 50 Det,*;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;80.44;REACTIVO
130614501M;MAGLUMI PAPP-A (PREACCU)*;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;0.00;RUO
130201023M;MAGLUMI PROGRP;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;347.70;RUO
130601023M;MAGLUMI PROGRP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;226.01;RUO
130206023M;MAGLUMI hs-CRP X 100 Det;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;178.98;RUO
130606023M;MAGLUMI hs-CRP X 50 Det;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;116.40;RUO
130201025M;MAGLUMI HE4 (CLIA);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;266.00;REACTIVO
130219002M;MAGLUMI HTLV I+ II (CLIA);KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130299027M;MAGLUMI Starter 1+2 (1 box= 2x1.5 L));KIT;8b8f89e4-eff8-4a7d-b039-09841187e63f;AMBIENTE;113.00;CONSUMIBLE
130299035M;MAGLUMI Wash Concentrate (1 box=1x10 L);KIT;2906cf15-f566-464f-9255-d1071d3287a6;AMBIENTE;243.00;CONSUMIBLE
130208000201;MAGLUMI Tip (20 x 192 Tips);CAJA;081a0940-7721-4453-9ed2-669deeeef59d;AMBIENTE;245.00;CONSUMIBLE
130202516M;MAGLUMI ANDROSTENEDIONE DE 2DA GENERACION;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;219.70;REACTIVO
130602516M;MAGLUMI ANDROSTENEDIONE DE 2DA GEN DE 50 DET;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;142.81;REACTIVO
